2025-02-03 15:49:49 startup archives unpack
2025-02-03 15:49:49 upgrade libpython3.10:amd64 3.10.12-1~22.04.7 3.10.12-1~22.04.8
2025-02-03 15:49:49 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2025-02-03 15:49:49 status half-configured libpython3.10:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:49 status unpacked libpython3.10:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:49 status half-installed libpython3.10:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:49 status unpacked libpython3.10:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:49 upgrade python3.10:amd64 3.10.12-1~22.04.7 3.10.12-1~22.04.8
2025-02-03 15:49:49 status half-configured python3.10:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:49 status unpacked python3.10:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:49 status half-installed python3.10:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:49 status triggers-pending man-db:amd64 2.10.2-1
2025-02-03 15:49:49 status unpacked python3.10:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:49 upgrade libpython3.10-stdlib:amd64 3.10.12-1~22.04.7 3.10.12-1~22.04.8
2025-02-03 15:49:49 status half-configured libpython3.10-stdlib:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:49 status unpacked libpython3.10-stdlib:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:49 status half-installed libpython3.10-stdlib:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:50 status unpacked libpython3.10-stdlib:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 upgrade python3.10-minimal:amd64 3.10.12-1~22.04.7 3.10.12-1~22.04.8
2025-02-03 15:49:50 status half-configured python3.10-minimal:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:50 status unpacked python3.10-minimal:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:50 status half-installed python3.10-minimal:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:50 status unpacked python3.10-minimal:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 upgrade libpython3.10-minimal:amd64 3.10.12-1~22.04.7 3.10.12-1~22.04.8
2025-02-03 15:49:50 status half-configured libpython3.10-minimal:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:50 status unpacked libpython3.10-minimal:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:50 status half-installed libpython3.10-minimal:amd64 3.10.12-1~22.04.7
2025-02-03 15:49:50 status unpacked libpython3.10-minimal:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 startup packages configure
2025-02-03 15:49:50 configure libpython3.10-minimal:amd64 3.10.12-1~22.04.8 <none>
2025-02-03 15:49:50 status unpacked libpython3.10-minimal:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status half-configured libpython3.10-minimal:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status installed libpython3.10-minimal:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 configure python3.10-minimal:amd64 3.10.12-1~22.04.8 <none>
2025-02-03 15:49:50 status unpacked python3.10-minimal:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status half-configured python3.10-minimal:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status installed python3.10-minimal:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 configure libpython3.10-stdlib:amd64 3.10.12-1~22.04.8 <none>
2025-02-03 15:49:50 status unpacked libpython3.10-stdlib:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status half-configured libpython3.10-stdlib:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status installed libpython3.10-stdlib:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 configure libpython3.10:amd64 3.10.12-1~22.04.8 <none>
2025-02-03 15:49:50 status unpacked libpython3.10:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status half-configured libpython3.10:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status installed libpython3.10:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 configure python3.10:amd64 3.10.12-1~22.04.8 <none>
2025-02-03 15:49:50 status unpacked python3.10:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:50 status half-configured python3.10:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:51 status installed python3.10:amd64 3.10.12-1~22.04.8
2025-02-03 15:49:51 trigproc man-db:amd64 2.10.2-1 <none>
2025-02-03 15:49:51 status half-configured man-db:amd64 2.10.2-1
2025-02-03 15:49:51 status installed man-db:amd64 2.10.2-1
2025-02-03 15:49:51 trigproc libc-bin:amd64 2.35-0ubuntu3.8 <none>
2025-02-03 15:49:51 status half-configured libc-bin:amd64 2.35-0ubuntu3.8
2025-02-03 15:49:51 status installed libc-bin:amd64 2.35-0ubuntu3.8
2025-02-03 15:49:55 startup archives unpack
2025-02-03 15:49:55 upgrade vim:amd64 2:8.2.3995-1ubuntu2.21 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status half-installed vim:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 upgrade vim-tiny:amd64 2:8.2.3995-1ubuntu2.21 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-tiny:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim-tiny:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status half-installed vim-tiny:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim-tiny:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 upgrade vim-runtime:all 2:8.2.3995-1ubuntu2.21 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-runtime:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim-runtime:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status half-installed vim-runtime:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status triggers-pending man-db:amd64 2.10.2-1
2025-02-03 15:49:55 status unpacked vim-runtime:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 upgrade vim-common:all 2:8.2.3995-1ubuntu2.21 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-common:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim-common:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status half-installed vim-common:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim-common:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 startup packages configure
2025-02-03 15:49:55 configure vim-common:all 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:49:55 status unpacked vim-common:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-common:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status installed vim-common:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 configure vim-runtime:all 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:49:55 status unpacked vim-runtime:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-runtime:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status installed vim-runtime:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 configure vim:amd64 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:49:55 status unpacked vim:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status installed vim:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 configure vim-tiny:amd64 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:49:55 status unpacked vim-tiny:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-tiny:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status installed vim-tiny:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 trigproc man-db:amd64 2.10.2-1 <none>
2025-02-03 15:49:55 status half-configured man-db:amd64 2.10.2-1
2025-02-03 15:49:56 status installed man-db:amd64 2.10.2-1
2025-02-03 15:50:00 startup archives unpack
2025-02-03 15:50:00 upgrade rsync:amd64 3.2.7-0ubuntu0.22.04.3 3.2.7-0ubuntu0.22.04.4
2025-02-03 15:50:00 status half-configured rsync:amd64 3.2.7-0ubuntu0.22.04.3
2025-02-03 15:50:00 status unpacked rsync:amd64 3.2.7-0ubuntu0.22.04.3
2025-02-03 15:50:00 status half-installed rsync:amd64 3.2.7-0ubuntu0.22.04.3
2025-02-03 15:50:00 status triggers-pending man-db:amd64 2.10.2-1
2025-02-03 15:50:00 status unpacked rsync:amd64 3.2.7-0ubuntu0.22.04.4
2025-02-03 15:50:00 startup packages configure
